Module Tracking #	Topic translationAcademy	GLT Learner Outcome	GST Learner Outcome	GLTN Learner Outcome	OL Translator Learning  Outcome	Lesson Plan	Examples
T.7.1	FIGURES OF SPEECH	XXXXX	XXXXX	XXXXX	XXXXX		
T.7.1.2	Apostrophe	Retains the speaker talking to someone or something that can not hear him	Replaces apostrophe by having the speaker tell the message to the original audience 	Explains the difference between the form of the apostrophe in the ULT and addressing the audience in the UST	Uses the clearest and most natural translation option that communicates the meaning accurately in their language		Judges 5:3, 2 Sam 1:21,  2 Sam 1: 25, 1 King 13:2, Luke 13:34
	Aside https://git.door43.org/tim/en_ta/src/branch/master/translate/figs-aside/01.md	Retain the Aside if it sounds natural and gives the right meaning	Replace the Aside with something that makes it clear that the author is now expressing his thoughts and feelings about them. If it is a prayer, it can be put in quotation marks.	Explain who is speaking to whom when using the aside. 	Use aside if it is clear and natural in language. If the meaning is not accurately communicated then replace aside like in GST.		Obadiah 1:7, Nehemiah 13:30-31
T.7.1.3	Doublet	Retains both words if at all possible	Replaces two words or phrases with single word that has the same intensified meaning	Explains two words is a good choice if possible but why one word is also an accurate translation	Translates whichever is clearest in their language - two similar words or one that encompasses both	https://docs.google.com/document/d/1sHnY_ZN_BajnGCkD9S9xhUX8LKYE7UB5/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	1Kings 1:1, 1 Kings 2:32, Daniel 2:9, 1Peter 1:19, 1Timothy 6:18
T.7.1.4	Euphemism	Retains the more polite, indirect way of talking about something unpleasant or unacceptable	Replaces polite indirect way of speaking with clear implied meaning	Explains what the original audience would have understood when they read or heard it. Gives alternate expression of the plain meaning	Use the form that is natural and clear in their language- retain the same euphemism, use an euphemism from their culture or explain the clear implied meaning. 		1 Chronicles 10:8, 1 Samuel 24:3, Luke 1:34
T.7.1.6	Hendiadys	Retains both the primary word or phrase as well as the descriptive noun or adjective that follows that conveys the same idea. 	Make relationship clear between the descriptive words and the idea, person or event by replacing it with a noun and adjective, adjective and adverb or two separate clauses or sentences	Explains that both words or phrases modify the same thing or event. Gives alternate translations that might make it more clear that they describe the same thing	Uses the clearest and most natural translation option that communicates the meaning accurately in their language - retains hendiadys or substitutes the descriptive word or phrase with words the convey same meaning. 	https://docs.google.com/document/d/1BobTvaFrgC3maYULGKyVOUfR2RhHptSO/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	1Thesslonians 2:12, Titus 2:13, Luke 21:15, Isaiah 1:19
T.7.1.7	Hyperbole and Generalization	Retains extreme statement, exaggeration or overgeneralization	States the actual meaning of exaggerations and generalization words like "usually, often, frequently, etc"	Explains that it is an exaggeration or generalization and what that exaggeration or generalization is trying to communicate	Translates exaggeration and generalization in a way that communicates the meaning accurately so people are not misled by either avioding the exaggeration or by using words that show it is generalization. 	https://docs.google.com/document/d/1hrvxjfS5rLvslkfCSv5scBHc4Ut814kV/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	1Samuel 13:5, Proverbs 13:18, Matthew 6:7, Mark 9:43, Luke 19:24
T.7.1.8	Idiom	Retains literal idiom	Replaces idiom with meaning	Explains the meaning of the idiom	Translates the idiom so that the readers understand the idiom accurately or replaces it with the meaning or use an idiom from their culture that conveys the same meaning. 	https://docs.google.com/document/d/1FnOoxnvYsZOgrrLeWXtSRYkpTgjNFqZg/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	1 Chronicles 11:1, Exodus 14:8, Psalm 3:3, Luke 9:51, Luke 7:6, Luke 9:44
T.7.1.9	Irony	Retains irony and opposite meaning of what is being said. 	Replaces Irony with actual intended meaning of the speaker which is opposite of what is being said. 	Explains that difference between what is said and what is meant. 	Translates irony so that the reader understands the that the irony means opposite of what is said or replaces the irony with actual intended meaning. 		Philemon 1:19, Ephesians 4:21, Nahum 2:1, Nahum 3:14, 1 Sam 2:30, 
	Litany https://git.door43.org/unfoldingWord/en_ta/src/branch/master/translate/figs-litany/01.md	Retains litany if it is understood as in the original translation.	1) Replaces Litany with a summary statement that gives its meaning. 2) Put each sentence of the line in a separate line. 3) Remove words like 'and', 'but', 'or' at the beginning of the sentences so that it will be clearer that the component parts of the litany are all being listed in a row.	Explain the purpose of using litany in the bible and the strategy that be used to translate litany in languages that do not use them. 	Translate litany as it is if it is used in the laguage or else replace it with summary statement that gives its meaning. 		Amos 9:2-4, Obadiah 1:12-14
